time,lat,lon,elevation,accuracy,bearing,speed
2015-06-14T17:11:13Z,48.425146,-71.068755,-24.457016,6.000000,0.000000,1.358273
2015-06-14T17:11:47Z,48.425201,-71.068917,-37.713899,12.000000,5.006807,3.515689
2015-06-14T17:12:22Z,48.425428,-71.068203,-7.267792,48.000000,77.653488,1.629951
2015-06-14T17:12:55Z,48.425277,-71.068459,-27.491798,24.000000,317.477051,4.337798
2015-06-14T17:14:02Z,48.425282,-71.066039,-14.943075,6.000000,94.330177,2.632867
2015-06-14T17:14:38Z,48.425975,-71.065854,6.135587,48.000000,5.667711,1.050690
2015-06-14T17:15:19Z,48.426230,-71.065778,-32.910867,8.000000,193.146454,1.636660
2015-06-14T17:16:05Z,48.427014,-71.065703,-27.120186,48.000000,236.677124,0.029444
2015-06-14T17:16:41Z,48.426237,-71.065729,137.494522,32.000000,308.326172,1.247938
2015-06-14T17:17:24Z,48.427723,-71.065343,-2.017873,32.000000,105.800659,0.695757
2015-06-14T17:17:55Z,48.428110,-71.064993,-19.578504,16.000000,0.000000,1.030226
2015-06-14T17:18:27Z,48.428383,-71.064750,-23.571023,6.000000,51.457073,1.322318
2015-06-14T17:19:01Z,48.428757,-71.064287,-6.856159,12.000000,1.246263,1.047189
2015-06-14T17:19:45Z,48.428817,-71.063833,2.949605,24.000000,127.366974,2.604068
2015-06-14T17:20:19Z,48.428685,-71.062670,-6.527006,48.000000,98.399963,1.741861
2015-06-14T17:20:58Z,48.428804,-71.062183,9.325116,12.000000,92.928894,1.015262
2015-06-14T17:21:33Z,48.428653,-71.061546,-19.990761,24.000000,9.296957,1.930991
2015-06-14T17:22:08Z,48.428467,-71.060615,11.817363,24.000000,80.650146,1.502942
2015-06-14T17:22:42Z,48.428618,-71.060083,-4.147008,24.000000,81.618523,3.156807
2015-06-14T17:23:18Z,48.428690,-71.059342,-21.129625,12.000000,26.486181,0.933541
2015-06-14T17:23:57Z,48.428749,-71.058579,-0.103469,6.000000,101.064651,1.969273
2015-06-14T17:24:28Z,48.428964,-71.058238,-24.844863,16.000000,0.000000,1.358593
2015-06-14T17:25:03Z,48.428887,-71.057282,-11.851344,12.000000,57.198673,1.510177
