time,lat,lon,elevation,accuracy,bearing,speed
2015-07-12T16:04:23Z,47.952806,-69.812578,-6.819860,32.000000,251.730362,0.367913
2015-07-12T16:05:00Z,47.952981,-69.812516,37.394789,3.000000,50.051270,0.418465
2015-07-12T16:05:30Z,47.952736,-69.812480,-5.964459,6.000000,0.000000,0.369205
2015-07-12T16:06:43Z,47.952528,-69.812639,-16.756799,32.000000,64.126511,0.179263
2015-07-12T16:08:30Z,47.952569,-69.812464,-2.353008,12.000000,110.416138,2.448193
2015-07-12T16:09:04Z,47.952342,-69.812562,35.228379,24.000000,227.254883,0.733349
2015-07-12T16:10:13Z,47.952124,-69.812340,11.538657,32.000000,161.651627,0.429866
2015-07-12T16:11:00Z,47.952209,-69.812533,-7.942095,12.000000,157.674698,2.751813
2015-07-12T16:11:34Z,47.952150,-69.812662,-26.283108,12.000000,151.267776,0.330626
2015-07-12T16:12:10Z,47.951804,-69.812730,-43.198209,32.000000,354.688416,0.815290
2015-07-12T16:12:44Z,47.951948,-69.812601,-13.787591,24.000000,326.779419,1.313802
2015-07-12T16:13:19Z,47.951748,-69.812775,-7.797692,24.000000,103.451271,0.889014
2015-07-12T16:14:49Z,47.951591,-69.812455,28.740719,24.000000,195.310059,1.654251
2015-07-12T16:15:21Z,47.951223,-69.811646,3.709989,16.000000,0.000000,0.387811
2015-07-12T16:15:54Z,47.951536,-69.812543,0.910491,6.000000,183.425110,0.665018
2015-07-12T16:16:30Z,47.951355,-69.811904,12.522968,32.000000,242.272598,0.256588
2015-07-12T16:17:04Z,47.951222,-69.811709,3.875629,32.000000,20.878199,1.398357
2015-07-12T16:17:45Z,47.951457,-69.811930,57.381727,6.000000,152.068878,2.036288
2015-07-12T16:18:21Z,47.951304,-69.811976,-57.577057,16.000000,184.337265,4.266150
2015-07-12T16:19:30Z,47.951041,-69.811985,-24.275682,32.000000,25.557116,0.172845
2015-07-12T16:20:11Z,47.951155,-69.812018,86.477651,16.000000,171.494049,1.401279
2015-07-12T16:20:52Z,47.951088,-69.812153,43.273989,32.000000,23.922277,0.207561
2015-07-12T16:21:26Z,47.951263,-69.811941,127.029247,1.500000,158.971558,2.354808
2015-07-12T16:22:00Z,47.950635,-69.813153,81.073355,32.000000,47.124088,0.597989
2015-07-12T16:22:40Z,47.951008,-69.812425,27.177972,8.000000,179.775665,4.472461
2015-07-12T16:23:23Z,47.950543,-69.811702,31.565234,96.000000,134.932373,1.739385
2015-07-12T16:23:57Z,47.950989,-69.812504,-55.943543,8.000000,348.670135,2.282362
2015-07-12T16:24:33Z,47.950439,-69.810820,22.450024,128.000000,161.232086,0.471791
2015-07-12T16:25:08Z,47.950310,-69.810249,37.925205,16.000000,2.819136,0.764191
2015-07-12T16:25:39Z,47.949966,-69.810490,58.285751,24.000000,0.000000,0.366783
2015-07-12T16:26:16Z,47.949920,-69.809744,65.089060,24.000000,189.618576,0.450342
2015-07-12T16:26:53Z,47.949776,-69.809419,64.147719,32.000000,118.616203,0.391100
2015-07-12T16:27:32Z,47.949965,-69.810385,-80.837206,16.000000,239.407547,0.391777
2015-07-12T16:28:09Z,47.949973,-69.809620,32.431451,32.000000,28.581217,0.284833
2015-07-12T16:28:45Z,47.950062,-69.808461,56.909338,128.000000,232.674072,0.171250
2015-07-12T16:29:17Z,47.950067,-69.808626,-1.665570,16.000000,0.000000,0.000000
2015-07-12T16:29:54Z,47.950533,-69.808093,78.590034,128.000000,11.201083,0.653355
