time,lat,lon,elevation,accuracy,bearing,speed
2015-06-21T17:54:46Z,45.460746,-76.256468,45.797148,128.000000,24.057463,0.518616
2015-06-21T17:55:22Z,45.460687,-76.257361,19.738431,32.000000,112.387993,0.429317
2015-06-21T17:57:12Z,45.460675,-76.255593,65.579993,32.000000,68.025291,0.094399
2015-06-21T17:57:42Z,45.460967,-76.255574,47.086873,6.000000,0.000000,0.000000
2015-06-21T17:58:17Z,45.460832,-76.256503,73.930961,32.000000,259.616394,0.391052
2015-06-21T17:58:53Z,45.461596,-76.255592,79.432949,128.000000,159.515671,0.393715
2015-06-21T17:59:39Z,45.460751,-76.256384,-26.072077,8.000000,56.629589,0.505796
2015-06-21T18:00:16Z,45.460918,-76.255951,19.252017,32.000000,178.593307,0.976471
2015-06-21T18:01:04Z,45.460914,-76.255598,102.414314,32.000000,214.133636,0.574223
2015-06-21T18:01:39Z,45.460849,-76.255394,121.424017,24.000000,193.059525,0.009618
2015-06-21T18:02:10Z,45.461142,-76.255279,6.308879,16.000000,0.000000,0.427444
2015-06-21T18:02:46Z,45.461542,-76.255026,43.605934,96.000000,205.204514,0.493221
2015-06-21T18:03:26Z,45.461063,-76.255160,8.896417,32.000000,270.646973,0.768138
2015-06-21T18:04:08Z,45.461963,-76.253640,63.717925,32.000000,128.024979,0.750922
2015-06-21T18:04:45Z,45.461948,-76.253276,69.639644,48.000000,178.016495,0.952385
2015-06-21T18:05:20Z,45.461097,-76.255079,-55.020155,16.000000,152.062653,0.171706
2015-06-21T18:05:53Z,45.461013,-76.254653,-60.093586,32.000000,0.000000,0.000000
2015-06-21T18:06:28Z,45.461167,-76.254926,138.597435,12.000000,20.724371,1.233567
2015-06-21T18:07:03Z,45.462145,-76.253352,12.508644,32.000000,262.322632,0.721157
2015-06-21T18:07:42Z,45.462287,-76.253465,24.707477,64.000000,112.470070,0.916063
2015-06-21T18:08:20Z,45.461971,-76.253393,25.393372,12.000000,65.043549,1.042272
2015-06-21T18:10:14Z,45.461827,-76.252922,37.495439,32.000000,195.332047,0.296902
2015-06-21T18:11:03Z,45.461871,-76.253290,0.347995,12.000000,90.118507,0.404963
2015-06-21T18:11:42Z,45.461869,-76.252935,1.853505,32.000000,113.380196,0.269674
2015-06-21T18:12:17Z,45.461446,-76.251381,65.689607,6.000000,273.675049,0.887421
2015-06-21T18:12:53Z,45.461723,-76.252899,53.804832,32.000000,327.215729,1.555371
2015-06-21T18:13:29Z,45.461793,-76.253246,-21.906869,16.000000,96.801270,0.218060
2015-06-21T18:15:03Z,45.460963,-76.251517,53.188480,64.000000,214.384933,0.724952
2015-06-21T18:15:40Z,45.460976,-76.251268,77.146184,24.000000,89.994392,0.736118
2015-06-21T18:16:23Z,45.460619,-76.251013,68.636462,32.000000,86.506973,0.895754
2015-06-21T18:17:04Z,45.460686,-76.250634,54.371974,16.000000,44.385544,0.805173
2015-06-21T18:17:39Z,45.460330,-76.250236,46.499313,32.000000,192.822739,0.458929
2015-06-21T18:18:25Z,45.460051,-76.250482,52.276278,64.000000,243.153473,1.425817
2015-06-21T18:18:58Z,45.459967,-76.250370,41.350577,6.000000,0.000000,0.756611
2015-06-21T18:19:40Z,45.460702,-76.250959,94.761361,16.000000,106.916992,0.751850
2015-06-21T18:20:18Z,45.460426,-76.250979,55.059799,32.000000,269.486877,0.598037
2015-06-21T18:20:55Z,45.460367,-76.251183,55.040245,32.000000,242.290314,1.111237
2015-06-21T18:21:30Z,45.460568,-76.251265,78.130507,16.000000,330.457306,0.964298
2015-06-21T18:22:07Z,45.459765,-76.251993,57.235983,96.000000,245.555984,1.118369
2015-06-21T18:22:46Z,45.460327,-76.251312,47.826931,24.000000,341.820099,0.420073
2015-06-21T18:23:20Z,45.460151,-76.251463,-49.853371,32.000000,250.966354,0.351979
2015-06-21T18:24:08Z,45.460422,-76.251082,110.952721,8.000000,135.567520,0.281182
2015-06-21T18:24:46Z,45.460278,-76.251382,16.463001,24.000000,296.505646,1.791888
2015-06-21T18:25:24Z,45.459738,-76.252992,66.295434,24.000000,306.951019,0.627887
2015-06-21T18:26:03Z,45.459704,-76.253773,29.671775,16.000000,277.559937,1.019744
2015-06-21T18:26:43Z,45.459658,-76.254377,75.945922,24.000000,250.342270,1.801241
2015-06-21T18:27:25Z,45.459663,-76.255142,63.310788,16.000000,260.122437,1.434973
2015-06-21T18:28:05Z,45.459741,-76.255579,59.256271,24.000000,257.261322,0.790041
2015-06-21T18:29:02Z,45.459686,-76.256591,117.691995,32.000000,273.693817,1.404543
2015-06-21T18:29:38Z,45.459663,-76.257242,59.736936,48.000000,283.028778,0.438361
2015-06-21T18:30:14Z,45.459526,-76.257823,80.500817,48.000000,279.096802,0.874868
2015-06-21T18:30:50Z,45.459603,-76.258323,48.113623,24.000000,259.319031,1.199438
2015-06-21T18:31:34Z,45.459652,-76.258966,51.250314,6.000000,0.000000,0.836587
2015-06-21T18:32:10Z,45.459553,-76.259690,63.685693,48.000000,249.991776,1.022059
2015-06-21T18:32:51Z,45.459517,-76.260455,82.622989,32.000000,213.843109,0.391511
2015-06-21T18:34:06Z,45.459416,-76.261158,46.657094,24.000000,278.376648,1.205558
2015-06-21T18:34:41Z,45.459568,-76.261732,60.487196,32.000000,300.258270,1.619008
2015-06-21T18:35:16Z,45.459491,-76.262552,62.637208,16.000000,265.715729,0.923911
2015-06-21T18:35:52Z,45.459262,-76.263191,51.441052,12.000000,255.767883,1.417792
2015-06-21T18:36:28Z,45.459279,-76.263780,38.993539,24.000000,321.068390,1.338463
2015-06-21T18:37:04Z,45.459320,-76.264440,66.399799,48.000000,271.813538,0.999413
2015-06-21T18:37:39Z,45.459450,-76.264722,51.299969,48.000000,297.153503,0.808520
2015-06-21T18:38:14Z,45.459497,-76.264568,54.198603,48.000000,148.624100,0.297967
2015-06-21T18:38:50Z,45.458976,-76.264897,78.131866,32.000000,237.479065,0.263299
2015-06-21T18:39:30Z,45.459385,-76.264882,25.044523,4.000000,34.749950,0.954984
2015-06-21T18:40:09Z,45.459229,-76.265460,57.959231,48.000000,275.397675,1.024785
2015-06-21T18:40:43Z,45.459389,-76.265011,49.656619,12.000000,108.561493,0.679339
2015-06-21T18:41:19Z,45.459231,-76.265213,49.401780,32.000000,173.118057,0.259651
2015-06-21T18:41:52Z,45.459454,-76.265316,55.313573,32.000000,286.640839,0.607242
2015-06-21T18:42:33Z,45.459423,-76.265450,37.392853,32.000000,262.590607,1.791762
2015-06-21T18:43:11Z,45.459184,-76.267556,14.510844,12.000000,307.578705,1.252494
2015-06-21T18:43:47Z,45.459154,-76.267928,55.124422,48.000000,252.872894,0.999384
2015-06-21T18:44:27Z,45.459283,-76.268649,52.303021,48.000000,264.519836,1.381525
2015-06-21T18:45:06Z,45.459189,-76.269390,68.085089,48.000000,292.780304,0.963331
2015-06-21T18:45:43Z,45.459130,-76.270077,51.304862,48.000000,304.806519,1.275798
2015-06-21T18:46:20Z,45.459185,-76.270497,34.295012,32.000000,348.915863,0.471683
2015-06-21T18:47:07Z,45.459492,-76.270447,64.426126,32.000000,182.548431,0.783248
2015-06-21T18:47:49Z,45.459331,-76.270421,29.164343,128.000000,55.199863,1.021869
2015-06-21T18:49:07Z,45.459131,-76.270342,-31.277394,64.000000,229.962509,1.467673
