time,lat,lon,elevation,accuracy,bearing,speed
2015-06-22T16:24:39Z,45.428674,-75.693110,38.180149,8.000000,0.000000,0.000000
2015-06-22T16:25:14Z,45.428764,-75.693297,47.947805,32.000000,6.709311,0.818722
2015-06-22T16:25:51Z,45.428661,-75.693054,38.300801,32.000000,282.373962,2.083167
2015-06-22T16:26:28Z,45.428894,-75.693345,24.558407,64.000000,304.764771,1.562433
2015-06-22T16:27:07Z,45.429076,-75.693053,46.417069,48.000000,205.828873,0.712761
2015-06-22T16:27:52Z,45.428489,-75.693484,-15.297037,64.000000,253.399017,3.111762
2015-06-22T16:28:23Z,45.428521,-75.693662,44.688524,12.000000,0.000000,0.000000
2015-06-22T16:28:59Z,45.428099,-75.693228,73.616761,32.000000,60.266132,1.252012
2015-06-22T16:29:35Z,45.427606,-75.692453,-13.849256,64.000000,86.449417,0.831220
2015-06-22T16:30:26Z,45.428036,-75.693546,35.345416,96.000000,350.840332,0.683519
2015-06-22T16:31:04Z,45.427547,-75.692370,41.963591,64.000000,165.827377,1.216749
2015-06-22T16:33:05Z,45.427217,-75.692808,34.290449,128.000000,180.655319,0.162964
2015-06-22T16:34:02Z,45.427298,-75.692884,25.803075,192.000000,333.856537,0.243704
2015-06-22T16:34:48Z,45.427672,-75.692958,82.862082,48.000000,190.572708,0.224936
2015-06-22T16:46:00Z,45.428059,-75.692983,39.114961,128.000000,349.840851,0.559168
2015-06-22T16:46:55Z,45.427557,-75.692164,34.599019,128.000000,159.514908,0.256569
2015-06-22T16:50:52Z,45.427075,-75.692133,29.594546,250.000000,42.972244,1.205992
2015-06-22T16:52:25Z,45.427560,-75.692695,33.156332,96.000000,270.036011,0.404003
2015-06-22T16:57:10Z,45.427984,-75.692399,36.899131,200.000000,146.762665,0.739498
2015-06-22T16:59:17Z,45.427470,-75.692549,35.462841,96.000000,314.368469,0.965099
2015-06-22T17:00:16Z,45.427600,-75.692933,25.815552,200.000000,10.201619,0.275324
2015-06-22T17:01:17Z,45.427441,-75.692238,34.535483,64.000000,285.958923,0.483234
2015-06-22T17:02:08Z,45.427771,-75.692315,-34.341310,64.000000,220.788437,0.400895
2015-06-22T17:03:07Z,45.427597,-75.692919,21.464076,12.000000,158.075989,1.049328
2015-06-22T17:03:45Z,45.427271,-75.692615,17.740076,24.000000,138.824463,0.717576
2015-06-22T17:04:35Z,45.426780,-75.692691,80.294097,48.000000,325.751648,2.366219
2015-06-22T17:05:24Z,45.426260,-75.693765,186.942586,64.000000,221.950531,0.498640
2015-06-22T17:06:01Z,45.426644,-75.694550,36.873590,200.000000,304.773102,1.029971
2015-06-22T17:11:40Z,45.426579,-75.694849,19.254127,64.000000,23.873798,0.971192
2015-06-22T17:12:29Z,45.428292,-75.692723,11.893049,192.000000,252.637024,2.224505
2015-06-22T17:13:06Z,45.427332,-75.694952,36.732086,96.000000,98.348129,1.539297
2015-06-22T17:13:48Z,45.427146,-75.695378,29.113467,64.000000,340.494324,0.194036
2015-06-22T17:14:24Z,45.427291,-75.695819,46.713139,16.000000,81.223328,0.242309
2015-06-22T17:15:01Z,45.427286,-75.695584,80.781155,96.000000,307.206818,1.226048
2015-06-22T17:15:36Z,45.427801,-75.695982,25.744984,32.000000,358.511841,2.649094
2015-06-22T17:16:12Z,45.428343,-75.696661,77.174134,48.000000,289.764435,0.457303
2015-06-22T17:16:49Z,45.428499,-75.696898,40.903413,16.000000,214.429901,1.097761
2015-06-22T17:17:26Z,45.428725,-75.697119,38.036525,12.000000,287.766266,1.516641
2015-06-22T17:18:01Z,45.428700,-75.697884,30.003648,48.000000,278.630341,1.152413
2015-06-22T17:18:36Z,45.428816,-75.698640,30.664586,24.000000,218.568085,0.786872
2015-06-22T17:19:12Z,45.429059,-75.698959,29.621532,32.000000,295.101074,0.457206
2015-06-22T17:19:57Z,45.428575,-75.699335,50.747588,32.000000,196.043884,1.423563
2015-06-22T17:20:29Z,45.428735,-75.699547,28.480502,12.000000,0.000000,0.577408
2015-06-22T17:21:05Z,45.429101,-75.700165,19.961031,32.000000,282.641144,0.704075
2015-06-22T17:21:40Z,45.429199,-75.700812,37.926990,16.000000,332.324280,0.266597
2015-06-22T17:22:17Z,45.429233,-75.701550,49.686750,12.000000,264.848358,1.293798
2015-06-22T17:22:52Z,45.429307,-75.701970,20.163372,8.000000,299.392822,1.350624
2015-06-22T17:23:25Z,45.429089,-75.702388,42.065573,48.000000,263.553589,0.533744
